appid,review_score_desc,total_positive,total_negative
3820470,No user reviews,0,0
3820490,No user reviews,0,0
3820530,No user reviews,0,0
3820540,No user reviews,0,0
3820550,No user reviews,0,0
3820590,No user reviews,0,0
3820630,Positive,37,4
3820740,No user reviews,0,0
3820810,Very Positive,74,8
3820820,3 user reviews,3,0
3820830,Mixed,6,7
3820860,No user reviews,0,0
3820870,No user reviews,0,0
3820880,8 user reviews,8,0
3820890,2 user reviews,2,0
3820900,Very Positive,52,3
3820910,3 user reviews,2,1
3820940,No user reviews,0,0
3820950,No user reviews,0,0
3820960,Mostly Positive,41,12
3821040,1 user reviews,0,1
3821080,No user reviews,0,0
3821100,7 user reviews,5,2
3821120,3 user reviews,3,0
3821140,No user reviews,0,0
3821150,Very Positive,632,150
3821160,Very Positive,108,12
3821180,3 user reviews,2,1
3821190,1 user reviews,0,1
3821230,No user reviews,0,0
3821270,No user reviews,0,0
3821280,No user reviews,0,0
3821290,No user reviews,0,0
3821350,Positive,20,1
3821370,No user reviews,0,0
3821380,No user reviews,0,0
3821420,No user reviews,0,0
3821470,Positive,22,3
3821510,No user reviews,0,0
3821520,No user reviews,0,0
3821550,No user reviews,0,0
3821580,No user reviews,0,0
3821590,1 user reviews,1,0
3821780,1 user reviews,1,0
3821790,Mostly Positive,313,102
3821830,No user reviews,0,0
3821860,Very Positive,169,27
3821890,6 user reviews,5,1
3821900,6 user reviews,6,0
3821910,No user reviews,0,0
3821940,1 user reviews,1,0
3821950,No user reviews,0,0
3821960,Mixed,12,6
3821970,No user reviews,0,0
3822000,1 user reviews,0,1
3822010,1 user reviews,0,1
3822040,No user reviews,0,0
3822050,3 user reviews,1,2
3822100,3 user reviews,2,1
3822120,2 user reviews,1,1
3822130,4 user reviews,3,1
3822140,2 user reviews,2,0
3822160,No user reviews,0,0
3822170,No user reviews,0,0
3822180,1 user reviews,1,0
3822220,Positive,32,5
3822240,No user reviews,0,0
3822250,No user reviews,0,0
3822260,2 user reviews,2,0
3822270,Very Positive,111,24
3822300,Positive,14,0
3822320,No user reviews,0,0
3822330,No user reviews,0,0
3822340,5 user reviews,4,1
3822360,No user reviews,0,0
3822370,No user reviews,0,0
3822390,No user reviews,0,0
3822430,Positive,19,1
3822490,No user reviews,0,0
3822500,Positive,12,1
3822530,No user reviews,0,0
3822580,2 user reviews,2,0
3822600,1 user reviews,0,1
3822620,Mixed,11,7
3822630,2 user reviews,2,0
3822640,1 user reviews,1,0
3822650,No user reviews,0,0
3822700,Very Positive,63,5
3822710,No user reviews,0,0
3822720,Mostly Positive,9,3
3822730,4 user reviews,4,0
3822740,5 user reviews,3,2
3822770,No user reviews,0,0
3822810,No user reviews,0,0
3822820,Positive,18,4
3822840,3 user reviews,3,0
3822850,No user reviews,0,0
3822860,No user reviews,0,0
3822870,8 user reviews,8,0
3822910,No user reviews,0,0
3822920,No user reviews,0,0
3822930,No user reviews,0,0
3822960,4 user reviews,1,3
3822990,Very Positive,115,3
3823000,Positive,9,2
3823010,No user reviews,0,0
3823020,No user reviews,0,0
3823030,No user reviews,0,0
3823050,Positive,13,1
3823080,Positive,18,3
3823130,Very Positive,156,21
3823140,No user reviews,0,0
3823150,1 user reviews,1,0
3823190,4 user reviews,3,1
3823290,Mostly Positive,149,51
3823300,2 user reviews,0,2
3823310,No user reviews,0,0
3823340,2 user reviews,1,1
3823370,Very Positive,75,11
3823420,1 user reviews,1,0
3823430,Positive,28,4
3823440,Very Positive,93,2
3823450,Mixed,36,20
3823460,Very Positive,1030,155
3823480,No user reviews,0,0
3823490,Very Positive,89,9
3823520,Positive,49,0
3823560,Mixed,14,9
3823570,1 user reviews,1,0
3823650,Very Positive,80,1
3823660,1 user reviews,1,0
3823670,No user reviews,0,0
3823680,Positive,30,0
3823700,No user reviews,0,0
3823730,No user reviews,0,0
3823790,No user reviews,0,0
3823800,Positive,15,3
3823830,1 user reviews,1,0
3823840,Mostly Positive,27,8
3823850,No user reviews,0,0
3823930,2 user reviews,2,0
3823950,Very Positive,109,16
3824000,No user reviews,0,0
3824050,No user reviews,0,0
3824080,Mostly Positive,127,45
3824090,No user reviews,0,0
3824100,6 user reviews,4,2
3824170,Positive,18,2
3824180,No user reviews,0,0
3824230,3 user reviews,3,0
3824270,2 user reviews,2,0
3824280,6 user reviews,6,0
3824290,No user reviews,0,0
3824510,No user reviews,0,0
3824550,No user reviews,0,0
3824590,No user reviews,0,0
3824600,7 user reviews,7,0
3824610,No user reviews,0,0
3824630,No user reviews,0,0
3824640,1 user reviews,1,0
3824680,No user reviews,0,0
3824720,No user reviews,0,0
3824730,No user reviews,0,0
3824740,8 user reviews,8,0
3824760,No user reviews,0,0
3824770,1 user reviews,1,0
3824820,Positive,21,0
3824840,No user reviews,0,0
3824860,No user reviews,0,0
3824960,4 user reviews,2,2
3824970,No user reviews,0,0
3824980,No user reviews,0,0
3825060,3 user reviews,3,0
3825160,No user reviews,0,0
3825240,Positive,12,0
3825270,No user reviews,0,0
3825280,6 user reviews,1,5
3825300,7 user reviews,7,0
3825340,No user reviews,0,0
3825350,Positive,47,0
3825380,No user reviews,0,0
3825390,No user reviews,0,0
3825410,7 user reviews,7,0
3825420,1 user reviews,0,1
3825430,No user reviews,0,0
3825450,1 user reviews,1,0
3825470,No user reviews,0,0
3825510,6 user reviews,4,2
3825520,2 user reviews,2,0
3825540,2 user reviews,1,1
3825590,5 user reviews,4,1
3825600,No user reviews,0,0
3825610,Positive,22,0
3825620,Mostly Positive,106,33
3825630,3 user reviews,3,0
3825650,2 user reviews,1,1
3825660,Very Positive,101,9
3825680,No user reviews,0,0
3825690,2 user reviews,2,0
3825720,Mixed,29,22
3825740,Positive,28,0
3825750,3 user reviews,3,0
3825760,No user reviews,0,0
3825770,No user reviews,0,0
3825780,Mixed,148,194
3825790,7 user reviews,7,0
3825800,1 user reviews,1,0
3825840,No user reviews,0,0
3825850,Mixed,13,9
3825860,No user reviews,0,0
3825870,No user reviews,0,0
3825890,No user reviews,0,0
3825900,No user reviews,0,0
3825930,No user reviews,0,0
3825960,2 user reviews,2,0
3825990,No user reviews,0,0
3826020,Very Positive,44,7
3826030,No user reviews,0,0
3826040,No user reviews,0,0
3826060,Mostly Positive,151,57
3826100,2 user reviews,1,1
3826140,1 user reviews,1,0
3826170,No user reviews,0,0
3826190,Positive,11,1
3826210,Mixed,26,16
3826240,8 user reviews,8,0
3826270,No user reviews,0,0
3826290,No user reviews,0,0
3826300,Mostly Positive,59,17
3826340,3 user reviews,3,0
3826350,3 user reviews,2,1
3826370,Mostly Positive,28,10
3826380,No user reviews,0,0
3826390,No user reviews,0,0
3826420,No user reviews,0,0
3826450,No user reviews,0,0
3826460,1 user reviews,1,0
3826560,Positive,43,6
3826580,Mixed,9,6
3826630,No user reviews,0,0
3826650,1 user reviews,1,0
3826670,No user reviews,0,0
3826710,No user reviews,0,0
3826720,No user reviews,0,0
3826730,1 user reviews,1,0
3826810,9 user reviews,8,1
3826820,No user reviews,0,0
3826830,No user reviews,0,0
3826840,No user reviews,0,0
3826850,No user reviews,0,0
3826860,7 user reviews,4,3
3826870,No user reviews,0,0
3826900,1 user reviews,0,1
3826930,Positive,29,1
3826950,Positive,25,3
3826970,Mostly Positive,17,5
3826990,No user reviews,0,0
3827050,No user reviews,0,0
3827070,No user reviews,0,0
3827110,No user reviews,0,0
3827180,No user reviews,0,0
3827200,No user reviews,0,0
3827220,Positive,45,0
3827230,No user reviews,0,0
3827240,No user reviews,0,0
3827320,No user reviews,0,0
3827330,No user reviews,0,0
3827340,Very Positive,63,1
3827370,Positive,16,4
3827390,No user reviews,0,0
3827430,No user reviews,0,0
3827470,No user reviews,0,0
3827480,No user reviews,0,0
3827490,3 user reviews,0,3
3827500,No user reviews,0,0
3827510,Positive,20,1
3827520,No user reviews,0,0
3827540,No user reviews,0,0
3827550,No user reviews,0,0
3827560,6 user reviews,5,1
3827570,No user reviews,0,0
3827600,Mixed,7,6
3827620,No user reviews,0,0
3827630,Positive,10,1
3827640,No user reviews,0,0
3827710,No user reviews,0,0
3827720,No user reviews,0,0
3827730,No user reviews,0,0
3827740,No user reviews,0,0
3827830,Very Positive,290,15
3827840,Very Positive,242,2
3827850,Positive,42,3
3828230,No user reviews,0,0
3828270,Mixed,11,11
3828280,Very Positive,79,5
3828290,1 user reviews,1,0
3828330,No user reviews,0,0
3828350,No user reviews,0,0
3828370,Positive,20,1
3828420,No user reviews,0,0
3828430,Positive,12,0
3828490,1 user reviews,1,0
3828500,No user reviews,0,0
3828520,Mostly Negative,6,10
3828550,No user reviews,0,0
3828560,No user reviews,0,0
3828570,3 user reviews,3,0
3828610,No user reviews,0,0
3828700,No user reviews,0,0
3828730,2 user reviews,2,0
3828740,No user reviews,0,0
3828800,2 user reviews,2,0
3828830,No user reviews,0,0
3828840,2 user reviews,2,0
3828850,Very Positive,120,6
3828870,4 user reviews,2,2
3828880,4 user reviews,4,0
3828900,Mixed,88,39
3828910,No user reviews,0,0
3828950,No user reviews,0,0
3828970,No user reviews,0,0
3828980,No user reviews,0,0
3829010,No user reviews,0,0
3829040,2 user reviews,2,0
3829050,5 user reviews,4,1
3829070,Positive,11,0
3829130,Positive,21,1
3829150,Positive,13,0
3829180,4 user reviews,4,0
3829200,No user reviews,0,0
3829220,No user reviews,0,0
3829250,No user reviews,0,0
3829260,No user reviews,0,0
3829280,No user reviews,0,0
3829300,5 user reviews,5,0
3829310,No user reviews,0,0
3829320,No user reviews,0,0
3829340,Mixed,74,39
3829350,Positive,12,0
3829400,No user reviews,0,0
3829430,4 user reviews,2,2
3829440,3 user reviews,2,1
3829490,9 user reviews,9,0
3829500,No user reviews,0,0
3829510,Positive,13,0
3829550,Positive,15,2
3829570,Mostly Positive,54,22
3829590,No user reviews,0,0
3829620,Very Positive,535,49
3829630,6 user reviews,6,0
3829640,No user reviews,0,0
3829660,1 user reviews,1,0
3829690,Positive,34,5
3829720,5 user reviews,5,0
3829880,Positive,42,5
3829920,4 user reviews,4,0
3829940,4 user reviews,4,0
3830000,No user reviews,0,0
3830020,No user reviews,0,0
3830030,No user reviews,0,0
3830040,No user reviews,0,0
3830070,No user reviews,0,0
3830080,No user reviews,0,0
3830130,4 user reviews,4,0
3830150,Positive,29,4
3830160,6 user reviews,3,3
3830210,Very Positive,306,27
3830220,No user reviews,0,0
3830240,3 user reviews,3,0
3830250,No user reviews,0,0
3830300,Positive,40,3
3830320,No user reviews,0,0
3830400,No user reviews,0,0
3830430,No user reviews,0,0
3830450,Mixed,18,12
3830470,Positive,29,2
3830490,5 user reviews,5,0
3830500,No user reviews,0,0
3830510,1 user reviews,1,0
3830520,No user reviews,0,0
3830530,3 user reviews,3,0
3830560,Very Positive,62,1
3830570,No user reviews,0,0
3830590,No user reviews,0,0
3830600,No user reviews,0,0
3830610,4 user reviews,4,0
3830640,8 user reviews,3,5
3830650,No user reviews,0,0
3830690,Very Positive,225,29
3830700,1 user reviews,1,0
3830710,No user reviews,0,0
3830720,1 user reviews,0,1
3830750,No user reviews,0,0
3830770,3 user reviews,3,0
3830780,Mixed,96,44
3830800,1 user reviews,1,0
3830810,Positive,12,1
3830860,No user reviews,0,0
3830870,No user reviews,0,0
3830880,9 user reviews,3,6
3830920,Mostly Positive,15,5
3830930,No user reviews,0,0
3830970,No user reviews,0,0
3830980,Mostly Positive,45,17
3831030,2 user reviews,2,0
3831050,No user reviews,0,0
3831060,Mixed,8,10
3831080,Very Positive,96,3
3831090,6 user reviews,5,1
3831100,No user reviews,0,0
3831120,Very Positive,5476,495
3831170,No user reviews,0,0
3831180,No user reviews,0,0
3831210,No user reviews,0,0
3831220,Positive,12,1
3831230,Very Positive,49,2
3831240,1 user reviews,1,0
3831290,Positive,27,2
3831350,Very Positive,393,7
3831370,Mostly Negative,5,14
3831390,No user reviews,0,0
3831400,Positive,37,3
3831410,No user reviews,0,0
3831420,No user reviews,0,0
3831510,Mixed,9,6
3831580,Positive,13,1
3831590,1 user reviews,0,1
3831630,Mixed,32,19
3831650,No user reviews,0,0
3831660,Very Positive,132,15
3831670,No user reviews,0,0
3831680,No user reviews,0,0
3831690,No user reviews,0,0
3831700,1 user reviews,0,1
3831720,Positive,23,0
3831730,No user reviews,0,0
3831760,3 user reviews,3,0
3831970,No user reviews,0,0
3831990,Very Positive,59,4
3832000,Positive,13,1
3832030,No user reviews,0,0
3832050,No user reviews,0,0
3832070,No user reviews,0,0
3832100,No user reviews,0,0
3832120,No user reviews,0,0
3832130,Positive,14,0
3832200,No user reviews,0,0
3832210,2 user reviews,2,0
3832240,4 user reviews,4,0
3832250,No user reviews,0,0
3832270,1 user reviews,0,1
3832290,Positive,16,2
3832300,3 user reviews,1,2
3832330,1 user reviews,1,0
3832360,7 user reviews,4,3
3832370,No user reviews,0,0
3832380,No user reviews,0,0
3832400,No user reviews,0,0
3832410,No user reviews,0,0
3832430,No user reviews,0,0
3832470,5 user reviews,4,1
3832490,No user reviews,0,0
3832500,No user reviews,0,0
3832510,2 user reviews,2,0
3832550,No user reviews,0,0
3832560,8 user reviews,8,0
3832570,5 user reviews,5,0
3832580,No user reviews,0,0
3832600,3 user reviews,2,1
3832630,Overwhelmingly Positive,1118,28
3832650,4 user reviews,3,1
3832660,No user reviews,0,0
3832700,No user reviews,0,0
3832710,No user reviews,0,0
3832720,Mostly Positive,25,7
3832740,Positive,43,1
3832790,1 user reviews,1,0
3832860,No user reviews,0,0
3832870,3 user reviews,1,2
3832880,No user reviews,0,0
3832910,2 user reviews,2,0
3832930,Mixed,6,7
3832940,No user reviews,0,0
3832950,No user reviews,0,0
3833000,No user reviews,0,0
3833050,8 user reviews,7,1
3833100,Positive,33,4
3833120,Positive,24,5
3833130,Mostly Positive,81,23
3833180,No user reviews,0,0
3833220,No user reviews,0,0
3833230,No user reviews,0,0
3833240,No user reviews,0,0
3833270,No user reviews,0,0
3833280,No user reviews,0,0
3833300,Very Positive,72,3
3833310,6 user reviews,6,0
3833320,No user reviews,0,0
3833330,No user reviews,0,0
3833400,No user reviews,0,0
3833430,Very Positive,98,22
3833450,No user reviews,0,0
3833460,1 user reviews,1,0
3833470,6 user reviews,5,1
3833550,No user reviews,0,0
3833600,8 user reviews,5,3
3833610,No user reviews,0,0
3833620,No user reviews,0,0
3833630,No user reviews,0,0
3833730,No user reviews,0,0
3833740,No user reviews,0,0
3833760,Very Positive,426,21
3833800,Mixed,37,29
3833810,No user reviews,0,0
3833820,1 user reviews,1,0
3833910,No user reviews,0,0
3833930,Mostly Positive,273,69
3834060,No user reviews,0,0
3834090,Very Positive,7207,1292
3834100,No user reviews,0,0
3834120,Very Positive,128,10
3834140,No user reviews,0,0
3834160,No user reviews,0,0
3834170,No user reviews,0,0
3834190,No user reviews,0,0
3834210,No user reviews,0,0
3834260,7 user reviews,7,0
3834270,No user reviews,0,0
3834300,No user reviews,0,0
3834340,No user reviews,0,0
3834370,8 user reviews,7,1
3834380,No user reviews,0,0
3834390,No user reviews,0,0
3834410,No user reviews,0,0
3834480,Very Positive,71,6
3834500,No user reviews,0,0
3834510,No user reviews,0,0
3834520,3 user reviews,1,2
3834530,No user reviews,0,0
3834580,Positive,16,2
3834590,No user reviews,0,0
3834600,Very Positive,74,11
3834630,Positive,11,1
3834640,5 user reviews,1,4
3834650,No user reviews,0,0
3834710,Positive,13,2
3834720,No user reviews,0,0
3834730,1 user reviews,1,0
3834740,Positive,40,1
3834750,No user reviews,0,0
3834760,No user reviews,0,0
3834770,No user reviews,0,0
3834820,Mixed,13,6
3834840,Mixed,11,9
3834850,5 user reviews,5,0
3834880,Mostly Positive,271,111
3834890,2 user reviews,1,1
3834900,Positive,15,1
3834910,No user reviews,0,0
3834920,No user reviews,0,0
3834930,No user reviews,0,0
3834940,No user reviews,0,0
3834950,No user reviews,0,0
3834980,Mostly Negative,5,8
3835000,No user reviews,0,0
3835010,5 user reviews,4,1
3835040,6 user reviews,5,1
3835080,No user reviews,0,0
3835100,No user reviews,0,0
3835160,No user reviews,0,0
3835170,Very Positive,144,1
3835180,4 user reviews,3,1
3835190,No user reviews,0,0
3835210,No user reviews,0,0
3835230,No user reviews,0,0
3835250,No user reviews,0,0
3835260,1 user reviews,0,1
3835290,Positive,22,0
3835300,No user reviews,0,0
3835410,2 user reviews,2,0
3835430,No user reviews,0,0
3835500,7 user reviews,7,0
3835520,No user reviews,0,0
3835530,No user reviews,0,0
3835550,No user reviews,0,0
3835590,5 user reviews,5,0
3835610,Positive,28,2
3835620,No user reviews,0,0
3835630,No user reviews,0,0
3835650,Very Positive,102,10
3835670,Positive,10,0
3835680,No user reviews,0,0
3835810,6 user reviews,5,1
3835840,No user reviews,0,0
3835850,Mixed,19,19
3835870,No user reviews,0,0
3835880,Very Positive,49,2
3835890,No user reviews,0,0
3835910,Mixed,10,7
3835940,No user reviews,0,0
3835950,2 user reviews,2,0
3835960,7 user reviews,7,0
3835980,Mostly Positive,86,26
3836030,No user reviews,0,0
3836060,7 user reviews,3,4
3836070,1 user reviews,1,0
3836120,No user reviews,0,0
3836140,No user reviews,0,0
3836170,2 user reviews,1,1
3836190,No user reviews,0,0
3836210,No user reviews,0,0
3836220,4 user reviews,3,1
3836350,No user reviews,0,0
3836360,No user reviews,0,0
3836380,No user reviews,0,0
3836440,Positive,15,1
3836480,No user reviews,0,0
3836490,No user reviews,0,0
3836500,No user reviews,0,0
3836510,No user reviews,0,0
3836520,Mixed,10,10
3836570,1 user reviews,1,0
3836580,No user reviews,0,0
3836590,No user reviews,0,0
3836720,No user reviews,0,0
3836750,No user reviews,0,0
3836770,No user reviews,0,0
3836790,No user reviews,0,0
3836870,No user reviews,0,0
3836910,8 user reviews,8,0
3836960,Very Positive,498,110
3836970,2 user reviews,1,1
3836980,Positive,46,1
3836990,4 user reviews,4,0
3837030,5 user reviews,3,2
3837080,3 user reviews,2,1
3837090,No user reviews,0,0
3837100,Positive,10,2
3837110,7 user reviews,6,1
3837160,No user reviews,0,0
3837200,No user reviews,0,0
3837210,Positive,22,0
3837230,9 user reviews,9,0
3837270,No user reviews,0,0
3837280,No user reviews,0,0
3837300,6 user reviews,3,3
3837310,No user reviews,0,0
3837330,No user reviews,0,0
3837340,Mixed,750,402
3837350,No user reviews,0,0
3837360,No user reviews,0,0
3837370,No user reviews,0,0
3837380,Very Positive,146,13
3837390,Very Positive,193,9
3837410,8 user reviews,2,6
3837420,No user reviews,0,0
3837430,5 user reviews,5,0
3837450,No user reviews,0,0
3837460,1 user reviews,1,0
3837500,No user reviews,0,0
3837530,Very Positive,57,4
3837560,No user reviews,0,0
3837620,Positive,37,4
3837650,3 user reviews,1,2
3837690,Mostly Positive,48,13
3837720,No user reviews,0,0
3837750,No user reviews,0,0
3837760,1 user reviews,1,0
3837790,No user reviews,0,0
3837850,No user reviews,0,0
3837870,No user reviews,0,0
3837890,7 user reviews,7,0
3837930,No user reviews,0,0
3837960,No user reviews,0,0
3837970,Very Positive,131,2
3837990,1 user reviews,1,0
3838030,No user reviews,0,0
3838040,No user reviews,0,0
3838080,No user reviews,0,0
3838100,No user reviews,0,0
3838120,Mostly Negative,5,8
3838140,Mixed,5,5
3838170,Very Positive,106,16
3838200,No user reviews,0,0
3838210,No user reviews,0,0
3838220,No user reviews,0,0
3838240,No user reviews,0,0
3838260,Mostly Negative,5,8
3838270,7 user reviews,6,1
3838280,Very Positive,119,5
3838290,Very Positive,561,69
3838300,No user reviews,0,0
3838350,No user reviews,0,0
3838370,Very Positive,1021,59
3838400,No user reviews,0,0
3838460,No user reviews,0,0
3838470,No user reviews,0,0
3838540,No user reviews,0,0
3838600,No user reviews,0,0
3838620,Mixed,25,13
3838640,No user reviews,0,0
3838660,6 user reviews,5,1
3838670,1 user reviews,1,0
3838680,No user reviews,0,0
3838710,No user reviews,0,0
3838740,Positive,28,4
3838760,2 user reviews,2,0
3838770,No user reviews,0,0
3838790,No user reviews,0,0
3838820,No user reviews,0,0
3838900,3 user reviews,3,0
3838920,No user reviews,0,0
3839000,No user reviews,0,0
3839010,No user reviews,0,0
3839060,No user reviews,0,0
3839110,1 user reviews,1,0
3839130,No user reviews,0,0
3839150,Positive,15,0
3839180,No user reviews,0,0
3839190,Positive,12,1
3839230,2 user reviews,0,2
3839240,8 user reviews,6,2
3839250,No user reviews,0,0
3839260,Very Positive,61,8
3839300,Overwhelmingly Positive,685,27
3839320,Mostly Negative,5,15
3839350,8 user reviews,6,2
3839360,No user reviews,0,0
3839400,No user reviews,0,0
3839430,No user reviews,0,0
3839440,No user reviews,0,0
3839500,No user reviews,0,0
3839510,No user reviews,0,0
3839530,No user reviews,0,0
3839550,Mixed,10,5
3839580,1 user reviews,1,0
3839590,7 user reviews,3,4
3839600,Mostly Positive,18,5
3839620,2 user reviews,0,2
3839660,Mixed,9,4
3839680,No user reviews,0,0
3839690,No user reviews,0,0
3839710,Very Positive,49,8
3839720,No user reviews,0,0
3839740,1 user reviews,1,0
3839810,Very Positive,200,4
3839840,No user reviews,0,0
3839850,Mixed,303,170
3839890,No user reviews,0,0
3839910,No user reviews,0,0
3839930,Mixed,6,6
3839980,No user reviews,0,0
3840000,No user reviews,0,0
3840070,No user reviews,0,0
3840090,2 user reviews,2,0
3840100,No user reviews,0,0
3840120,No user reviews,0,0
3840150,7 user reviews,2,5
3840160,No user reviews,0,0
3840180,Positive,34,7
3840200,No user reviews,0,0
3840230,Very Positive,589,48
3840240,No user reviews,0,0
3840250,3 user reviews,2,1
3840260,No user reviews,0,0
3840280,No user reviews,0,0
3840290,5 user reviews,3,2
3840300,No user reviews,0,0
3840320,6 user reviews,6,0
3840340,No user reviews,0,0
3840360,1 user reviews,1,0
3840370,4 user reviews,4,0
3840430,No user reviews,0,0
3840490,3 user reviews,3,0
3840530,No user reviews,0,0
3840590,1 user reviews,1,0
3840600,3 user reviews,2,1
3840610,No user reviews,0,0
3840620,No user reviews,0,0
3840640,3 user reviews,2,1
3840650,No user reviews,0,0
3840680,1 user reviews,1,0
3840740,No user reviews,0,0
3840750,No user reviews,0,0
3840810,Positive,38,8
3840820,No user reviews,0,0
3840860,No user reviews,0,0
3840890,Mixed,8,6
3840910,No user reviews,0,0
3840930,No user reviews,0,0
3840950,Mixed,12,6
3840970,Positive,22,3
3841000,No user reviews,0,0
3841010,Very Positive,179,21
3841040,Mostly Positive,78,30
3841110,No user reviews,0,0
3841140,No user reviews,0,0
3841160,9 user reviews,9,0
3841220,Very Positive,70,11
3841240,Positive,10,0
3841250,2 user reviews,2,0
3841260,No user reviews,0,0
3841270,No user reviews,0,0
3841280,No user reviews,0,0
3841340,4 user reviews,4,0
3841370,No user reviews,0,0
3841380,3 user reviews,3,0
3841400,Positive,31,3
3841420,No user reviews,0,0
3841430,Positive,17,0
3841480,Very Positive,62,8
3841510,No user reviews,0,0
3841560,2 user reviews,1,1
3841570,1 user reviews,0,1
3841600,1 user reviews,1,0
3841620,2 user reviews,1,1
3841640,No user reviews,0,0
3841660,3 user reviews,3,0
3841680,No user reviews,0,0
3841700,No user reviews,0,0
3841720,4 user reviews,4,0
3841730,1 user reviews,0,1
3841750,Positive,19,4
3841820,No user reviews,0,0
3841830,Mixed,6,9
3841840,No user reviews,0,0
3841900,2 user reviews,2,0
3841910,No user reviews,0,0
3841940,1 user reviews,0,1
3841970,Very Positive,657,111
3841980,Mostly Positive,12,5
3841990,No user reviews,0,0
3842010,No user reviews,0,0
3842050,No user reviews,0,0
3842090,No user reviews,0,0
3842110,No user reviews,0,0
3842140,No user reviews,0,0
3842160,No user reviews,0,0
3842180,4 user reviews,4,0
3842190,No user reviews,0,0
3842240,No user reviews,0,0
3842300,Positive,10,1
3842330,No user reviews,0,0
3842340,Mixed,7,9
3842360,No user reviews,0,0
3842370,1 user reviews,0,1
3842380,9 user reviews,9,0
3842430,No user reviews,0,0
3842470,Positive,34,5
3842490,No user reviews,0,0
3842530,No user reviews,0,0
3842550,No user reviews,0,0
3842580,2 user reviews,0,2
3842620,No user reviews,0,0
3842640,No user reviews,0,0
3842660,No user reviews,0,0
3842690,No user reviews,0,0
3842700,Positive,12,2
3842720,No user reviews,0,0
3842740,Mixed,13,8
3842770,1 user reviews,1,0
3842830,No user reviews,0,0
3842860,1 user reviews,1,0
3842880,No user reviews,0,0
3842890,4 user reviews,4,0
3842900,Positive,22,0
3842910,Positive,12,3
3842940,No user reviews,0,0
3842950,No user reviews,0,0
3842960,Positive,19,4
3842970,No user reviews,0,0
3842980,Mixed,6,7
3843020,1 user reviews,1,0
3843070,Positive,30,1
3843090,8 user reviews,8,0
3843100,6 user reviews,4,2
3843120,Mixed,8,8
3843130,No user reviews,0,0
3843270,6 user reviews,5,1
3843290,6 user reviews,6,0
3843330,2 user reviews,2,0
3843350,1 user reviews,1,0
3843360,Very Positive,65,8
3843370,Positive,28,1
3843400,Very Positive,57,11
3843410,No user reviews,0,0
3843430,1 user reviews,1,0
3843440,No user reviews,0,0
3843460,No user reviews,0,0
3843500,6 user reviews,4,2
3843510,No user reviews,0,0
3843520,Mostly Positive,222,92
3843530,Mixed,83,36
3843540,Mostly Positive,35,9
3843550,Positive,22,1
3843560,Positive,40,5
3843570,Positive,13,0
3843620,No user reviews,0,0
3843700,Mostly Positive,48,17
3843710,No user reviews,0,0
3843730,2 user reviews,2,0
3843760,No user reviews,0,0
3843830,Very Positive,71,16
3843850,Mostly Positive,25,9
3843860,No user reviews,0,0
3843870,2 user reviews,0,2
3843910,No user reviews,0,0
3843920,6 user reviews,4,2
3843960,No user reviews,0,0
3843980,No user reviews,0,0
3844000,No user reviews,0,0
3844020,6 user reviews,5,1
3844040,No user reviews,0,0
3844090,1 user reviews,1,0
3844110,No user reviews,0,0
3844140,Mostly Positive,20,7
3844150,Mixed,15,7
3844170,No user reviews,0,0
3844180,Positive,18,1
3844200,2 user reviews,2,0
3844220,Positive,22,2
3844240,7 user reviews,4,3
3844270,No user reviews,0,0
3844280,No user reviews,0,0
3844290,No user reviews,0,0
3844300,No user reviews,0,0
3844340,Positive,11,1
3844350,No user reviews,0,0
3844360,No user reviews,0,0
3844370,No user reviews,0,0
3844480,No user reviews,0,0
3844490,2 user reviews,2,0
3844530,3 user reviews,3,0
3844550,Positive,23,2
3844580,No user reviews,0,0
3844690,No user reviews,0,0
3844720,4 user reviews,4,0
3844730,No user reviews,0,0
3844750,Very Positive,443,36
3844760,4 user reviews,4,0
3844800,No user reviews,0,0
3844820,No user reviews,0,0
3844830,5 user reviews,4,1
3844870,No user reviews,0,0
3844880,No user reviews,0,0
3844890,No user reviews,0,0
3844900,6 user reviews,6,0
3844910,3 user reviews,3,0
3844930,Mostly Negative,5,9
3844940,2 user reviews,2,0
3844950,No user reviews,0,0
3844970,Very Positive,944,151
3844980,No user reviews,0,0
3845010,No user reviews,0,0
3845020,No user reviews,0,0
3845050,No user reviews,0,0
3845070,No user reviews,0,0
3845170,No user reviews,0,0
3845210,No user reviews,0,0
3845280,Positive,35,6
3845300,Positive,16,0
3845350,No user reviews,0,0
3845390,No user reviews,0,0
3845400,No user reviews,0,0
3845420,Mostly Positive,21,6
3845430,5 user reviews,2,3
3845440,Mixed,22,28
3845450,Very Positive,81,3
3845460,No user reviews,0,0
3845480,No user reviews,0,0
3845510,No user reviews,0,0
3845520,5 user reviews,4,1
3845560,2 user reviews,2,0
3845590,No user reviews,0,0
3845600,Very Positive,248,43
3845610,No user reviews,0,0
3845620,No user reviews,0,0
3845630,Mostly Positive,119,51
3845640,Mixed,38,21
3845650,No user reviews,0,0
3845720,1 user reviews,0,1
3845820,7 user reviews,2,5
3845830,Very Positive,429,54
3845930,3 user reviews,3,0
3845950,No user reviews,0,0
3846020,6 user reviews,6,0
3846030,Mixed,28,26
3846040,No user reviews,0,0
3846050,Mixed,7,4
3846120,Overwhelmingly Positive,3675,144
