appid,name,is_free,developers,publishers,price_final,price_currency,windows,mac,linux,categories,genres,release_date
1900,Earth 2160,False,"[""Reality Pump Studios""]","[""Topware Interactive"", ""ACE""]",999.0,USD,True,True,True,"[""Single-player"", ""Multi-player"", ""Co-op"", ""Cross-Platform Multiplayer"", ""Steam Trading Cards"", ""Family Sharing""]","[""Strategy""]",2006-04-01
1930,Two Worlds Epic Edition,False,"[""Reality Pump Studios""]","[""Topware Interactive""]",1499.0,USD,True,True,True,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Trading Cards"", ""Partial Controller Support"", ""Family Sharing""]","[""RPG""]",2009-04-30
2100,Dark Messiah of Might & Magic,False,"[""Arkane Studios""]","[""Ubisoft""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Valve Anti-Cheat enabled"", ""Family Sharing""]","[""Action"", ""RPG""]",2006-10-25
2200,Quake III Arena,False,"[""id Software""]","[""id Software""]",1499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Steam Cloud"", ""Family Sharing""]","[""Action""]",2007-08-03
2210,Quake 4,False,"[""RavenSoft"", ""id Software""]","[""Bethesda Softworks""]",1499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Steam Cloud"", ""Family Sharing""]","[""Action""]",2011-08-04
2270,Wolfenstein 3D,False,"[""id Software""]","[""Bethesda Softworks""]",499.0,USD,True,False,False,"[""Single-player"", ""Adjustable Text Size"", ""Camera Comfort"", ""Color Alternatives"", ""Keyboard Only Option"", ""Save Anytime"", ""Stereo Sound"", ""Steam Cloud"", ""Family Sharing""]","[""Action""]",2007-08-03
2280,DOOM + DOOM II,False,"[""id Software"", ""Nightdive Studios""]","[""Bethesda""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Shared/Split Screen PvP"", ""Co-op"", ""Online Co-op"", ""LAN Co-op"", ""Shared/Split Screen Co-op"", ""Shared/Split Screen"", ""Cross-Platform Multiplayer"", ""Full controller support"", ""Camera Comfort"", ""Custom Volume Controls"", ""Adjustable Difficulty"", ""Keyboard Only Option"", ""Stereo Sound"", ""Steam Cloud"", ""Remote Play Together"", ""Family Sharing""]","[""Action""]",2007-08-03
2310,Quake,False,"[""id Software"", ""Nightdive Studios"", ""MachineGames""]","[""Bethesda Softworks""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""Shared/Split Screen PvP"", ""Co-op"", ""Online Co-op"", ""Shared/Split Screen Co-op"", ""Shared/Split Screen"", ""Cross-Platform Multiplayer"", ""Full controller support"", ""Steam Cloud"", ""Remote Play Together"", ""Family Sharing""]","[""Action""]",2007-08-03
2320,Quake II,False,"[""id Software"", ""Nightdive Studios"", ""MachineGames""]","[""Bethesda Softworks""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""Shared/Split Screen PvP"", ""Co-op"", ""Online Co-op"", ""Shared/Split Screen Co-op"", ""Shared/Split Screen"", ""Cross-Platform Multiplayer"", ""Full controller support"", ""Steam Trading Cards"", ""Camera Comfort"", ""Playable without Timed Input"", ""Save Anytime"", ""Stereo Sound"", ""Surround Sound"", ""Steam Cloud"", ""Remote Play Together"", ""Family Sharing""]","[""Action""]",2007-08-03
2400,The Ship: Murder Party,False,"[""Outerlight Ltd.""]","[""Blazing Griffin""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Steam Trading Cards"", ""Valve Anti-Cheat enabled"", ""Family Sharing""]","[""Action"", ""Indie"", ""RPG""]",2006-07-11
2420,The Ship: Single Player,False,"[""Outerlight Ltd.""]","[""Blazing Griffin Ltd.""]",,,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Action"", ""Indie"", ""RPG""]",2006-11-20
2450,Bloody Good Time,False,"[""Outerlight Ltd.""]","[""Ubisoft""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Steam Achievements"", ""Family Sharing""]","[""Action""]",2010-10-29
2500,Shadowgrounds,False,"[""Frozenbyte""]","[""Frozenbyte""]",104.0,USD,True,True,False,"[""Single-player"", ""Multi-player"", ""Shared/Split Screen"", ""Steam Trading Cards"", ""Remote Play Together"", ""Family Sharing""]","[""Action""]",2006-05-08
2520,Gumboy - Crazy Adventures™,False,"[""CINEMAX, s.r.o.""]","[""CINEMAX, s.r.o.""]",99.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual"", ""Indie""]",2006-12-19
2540,RIP - Trilogy™,False,"[""Elephant Games""]",[],499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Co-op"", ""Family Sharing""]","[""Casual"", ""Indie""]",2007-06-01
2590,Alpha Prime,False,"[""Black Element""]","[""Bohemia Interactive""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Action""]",2007-11-07
2600,Vampire: The Masquerade - Bloodlines,False,"[""Troika Games""]","[""Activision""]",1999.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Action""]",2007-03-22
2610,GUN™,False,"[""Neversoft""]","[""Activision""]",1999.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Action""]",2006-10-13
2620,Call of Duty® (2003),False,"[""Infinity Ward""]","[""Activision""]",1999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action""]",2006-10-13
2630,Call of Duty® 2,False,"[""Infinity Ward""]","[""Activision""]",1999.0,USD,True,True,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action""]",2006-10-13
2640,Call of Duty: United Offensive,False,"[""Gray Matter Studios""]","[""Activision""]",1999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action""]",2006-10-13
2700,RollerCoaster Tycoon® 3: Platinum,False,"[""Frontier"", ""Aspyr (Mac)""]","[""Frontier"", ""Aspyr (Mac)""]",,,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Simulation"", ""Strategy""]",2008-03-12
2710,Act of War: Direct Action,False,"[""Eugen Systems""]","[""THQ Nordic""]",299.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action""]",2008-03-12
2720,ThreadSpace: Hyperbol,False,"[""Iocaine Studios""]",[],499.0,USD,True,False,False,"[""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Co-op"", ""Online Co-op"", ""LAN Co-op"", ""Includes level editor"", ""Family Sharing""]","[""Action"", ""Indie"", ""Strategy""]",2007-07-12
2800,X2: The Threat,False,"[""Egosoft""]","[""Egosoft""]",99.0,USD,True,False,False,"[""Single-player"", ""Captions available"", ""Steam Cloud"", ""Family Sharing""]","[""Strategy""]",2006-07-21
2810,X3: Reunion,False,"[""Egosoft""]","[""Egosoft""]",99.0,USD,True,True,True,"[""Single-player"", ""Captions available"", ""Steam Cloud"", ""Family Sharing""]","[""Strategy""]",2006-07-21
2820,X3: Terran Conflict,False,"[""Egosoft""]","[""Egosoft""]",159.0,USD,True,True,True,"[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Captions available"", ""Steam Cloud"", ""Family Sharing""]","[""Action"", ""Simulation"", ""Strategy""]",2008-10-16
2840,X: Beyond the Frontier,False,"[""Egosoft""]","[""Egosoft""]",99.0,USD,True,False,False,"[""Single-player"", ""Steam Cloud"", ""Family Sharing""]","[""Simulation"", ""Strategy""]",2010-10-08
2850,X: Tension,False,"[""Egosoft""]","[""Egosoft""]",99.0,USD,True,False,False,"[""Single-player"", ""Steam Cloud"", ""Family Sharing""]","[""Simulation"", ""Strategy""]",2010-10-08
2870,X Rebirth,False,"[""Egosoft""]","[""Egosoft""]",299.0,USD,True,True,True,"[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""Captions available"", ""Steam Workshop"", ""Steam Cloud"", ""Family Sharing""]","[""Action"", ""Simulation""]",2013-11-15
2900,688(I) Hunter/Killer,False,"[""Sonalysts""]","[""Strategy First""]",199.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Strategy""]",2006-10-26
2910,Fleet Command,False,"[""Sonalysts""]","[""Strategy First""]",199.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Strategy""]",2006-10-26
2920,Sub Command,False,"[""Sonalysts""]","[""Strategy First""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Co-op"", ""Includes level editor"", ""Family Sharing""]","[""Strategy""]",2006-10-26
2990,FlatOut 2,False,"[""Bugbear Entertainment"", ""ZOOM Platform Media"", ""Jordan Freeman Group""]","[""Strategy First""]",199.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""Online PvP"", ""LAN PvP"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""Steam Workshop"", ""Steam Workshop"", ""Steam Cloud"", ""Family Sharing""]","[""Racing""]",2006-12-21
3010,Xpand Rally,False,"[""Techland""]","[""Techland""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Racing""]",2006-08-24
3020,Call of Juarez,False,"[""Techland""]","[""Techland Publishing""]",999.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Steam Trading Cards"", ""Family Sharing""]","[""Action""]",2007-11-08
3050,Xpand Rally Xtreme,False,"[""Techland""]","[""Techland""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Racing""]",2008-10-08
3130,Men of War: Red Tide,False,"[""Fulqrum Publishing""]","[""Fulqrum Publishing""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""PvP"", ""LAN PvP"", ""Co-op"", ""LAN Co-op"", ""Steam Trading Cards"", ""Steam Cloud"", ""Family Sharing""]","[""Strategy""]",2009-11-01
3170,King's Bounty: Armored Princess,False,"[""Katauri Interactive""]","[""Fulqrum Publishing""]",999.0,USD,True,True,False,"[""Single-player"", ""Steam Cloud"", ""Family Sharing""]","[""RPG"", ""Strategy""]",2009-11-19
3230,Genesis Rising,False,"[""Metamorf""]","[""THQ Nordic""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Strategy""]",2007-08-06
3260,Safecracker: The Ultimate Puzzle Adventure,False,"[""Kheops Studio""]","[""HandyGames""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Adventure"", ""Casual""]",2007-08-29
3270,Painkiller Overdose,False,"[""Mindware Studios""]","[""Prime Matter""]",499.0,USD,True,False,False,"[""Single-player"", ""Multi-player"", ""Family Sharing""]","[""Action""]",2007-10-30
3300,Bejeweled 2 Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Casual""]",2006-08-30
3310,Chuzzle Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3320,Insaniquarium Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3330,Zuma Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,True,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3340,AstroPop Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
3350,Bejeweled Deluxe,False,"[""PopCap Games, Inc.""]","[""PopCap Games, Inc."", ""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Family Sharing""]","[""Casual""]",2006-08-30
3360,Big Money! Deluxe,False,"[""PopCap Games, Inc.""]","[""Electronic Arts""]",499.0,USD,True,False,False,"[""Single-player"", ""Family Sharing""]","[""Casual""]",2006-08-30
